"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","responses","block","stim_onset","match_type","image_category","sound_category","audio_type","phase","correct"
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","447","477355","0.0-11.0-1.99","longtest","","1","","","","","","",""
"null","Images/rooster_3.png","null","image-keyboard-response","448","477607","0.0-11.0-2.99","longtest","","1","1580682824508","non-match","rooster","dog","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","449","479618","0.0-11.0-3.99","longtest","","1","","","","","","",""
"null","<p>Please take this opportunity to rest your eyes before proceeding.</p><p>When ready, press the enter key to continue to the next set of trials.</p>","null","html-keyboard-response","450","480122","0.0-12.0","longtest","","","","","","","","",""
"null","Sounds/train_sound.wav","null","audio-keyboard-response","451","483430","0.0-13.0-0.0","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","452","484438","0.0-13.0-1.0","longtest","","2","","","","","","",""
"null","Images/train_cartoon.png","null","image-keyboard-response","453","484692","0.0-13.0-2.0","longtest","","2","1580682831591","match","train","train","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","454","486710","0.0-13.0-3.0","longtest","","2","","","","","","",""
"null","Sounds/gun_sound.wav","null","audio-keyboard-response","455","487290","0.0-13.0-0.1","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","456","488288","0.0-13.0-1.1","longtest","","2","","","","","","",""
"null","Images/gun_1.png","null","image-keyboard-response","457","488541","0.0-13.0-2.1","longtest","","2","1580682835441","match","gun","gun","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","458","490546","0.0-13.0-3.1","longtest","","2","","","","","","",""
"null","Sounds/motorcycle_label.wav","null","audio-keyboard-response","459","491690","0.0-13.0-0.2","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","460","492688","0.0-13.0-1.2","longtest","","2","","","","","","",""
"null","Images/motorcycle_1.png","null","image-keyboard-response","461","492941","0.0-13.0-2.2","longtest","","2","1580682839841","match","motorcycle","motorcycle","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","462","494944","0.0-13.0-3.2","longtest","","2","","","","","","",""
"null","Sounds/rooster_label.wav","null","audio-keyboard-response","463","495650","0.0-13.0-0.3","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","464","496655","0.0-13.0-1.3","longtest","","2","","","","","","",""
"null","Images/cat_cartoon.png","null","image-keyboard-response","465","496908","0.0-13.0-2.3","longtest","","2","1580682843808","non-match","cat","rooster","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","466","498911","0.0-13.0-3.3","longtest","","2","","","","","","",""
"null","Sounds/cow_sound.wav","null","audio-keyboard-response","467","499930","0.0-13.0-0.4","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","468","500938","0.0-13.0-1.4","longtest","","2","","","","","","",""
"null","Images/cow_cartoon.png","null","image-keyboard-response","469","501192","0.0-13.0-2.4","longtest","","2","1580682848092","match","cow","cow","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","470","503195","0.0-13.0-3.4","longtest","","2","","","","","","",""
"null","Sounds/cow_sound.wav","null","audio-keyboard-response","471","504191","0.0-13.0-0.5","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","472","505188","0.0-13.0-1.5","longtest","","2","","","","","","",""
"null","Images/rooster_1.png","null","image-keyboard-response","473","505441","0.0-13.0-2.5","longtest","","2","1580682852342","non-match","rooster","cow","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","474","507446","0.0-13.0-3.5","longtest","","2","","","","","","",""
"null","Sounds/gun_label.wav","null","audio-keyboard-response","475","508030","0.0-13.0-0.6","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","476","509038","0.0-13.0-1.6","longtest","","2","","","","","","",""
"null","Images/rooster_3.png","null","image-keyboard-response","477","509291","0.0-13.0-2.6","longtest","","2","1580682856192","non-match","rooster","gun","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","478","511295","0.0-13.0-3.6","longtest","","2","","","","","","",""
"null","Sounds/gun_label.wav","null","audio-keyboard-response","479","511850","0.0-13.0-0.7","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","480","512855","0.0-13.0-1.7","longtest","","2","","","","","","",""
"null","Images/gun_2.png","null","image-keyboard-response","481","513107","0.0-13.0-2.7","longtest","","2","1580682860008","match","gun","gun","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","482","515110","0.0-13.0-3.7","longtest","","2","","","","","","",""
"null","Sounds/dog_label.wav","null","audio-keyboard-response","483","515771","0.0-13.0-0.8","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","484","516788","0.0-13.0-1.8","longtest","","2","","","","","","",""
"null","Images/cat_2.png","null","image-keyboard-response","485","517041","0.0-13.0-2.8","longtest","","2","1580682863942","non-match","cat","dog","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","486","519044","0.0-13.0-3.8","longtest","","2","","","","","","",""
"null","Sounds/train_label.wav","null","audio-keyboard-response","487","520331","0.0-13.0-0.9","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","488","521339","0.0-13.0-1.9","longtest","","2","","","","","","",""
"null","Images/train_2.png","null","image-keyboard-response","489","521593","0.0-13.0-2.9","longtest","","2","1580682868492","match","train","train","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","490","523610","0.0-13.0-3.9","longtest","","2","","","","","","",""
"null","Sounds/cow_sound.wav","null","audio-keyboard-response","491","524611","0.0-13.0-0.10","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","492","525605","0.0-13.0-1.10","longtest","","2","","","","","","",""
"null","Images/dog_cartoon.png","null","image-keyboard-response","493","525859","0.0-13.0-2.10","longtest","","2","1580682872758","non-match","dog","cow","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","494","527861","0.0-13.0-3.10","longtest","","2","","","","","","",""
"null","Sounds/gun_label.wav","null","audio-keyboard-response","495","528410","0.0-13.0-0.11","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","496","529405","0.0-13.0-1.11","longtest","","2","","","","","","",""
"null","Images/cow_2.png","null","image-keyboard-response","497","529658","0.0-13.0-2.11","longtest","","2","1580682876558","non-match","cow","gun","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","498","531661","0.0-13.0-3.11","longtest","","2","","","","","","",""
"null","Sounds/cat_label.wav","null","audio-keyboard-response","499","532511","0.0-13.0-0.12","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","500","533505","0.0-13.0-1.12","longtest","","2","","","","","","",""
"null","Images/cow_3.png","null","image-keyboard-response","501","533757","0.0-13.0-2.12","longtest","","2","1580682880659","non-match","cow","cat","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","502","535764","0.0-13.0-3.12","longtest","","2","","","","","","",""
"null","Sounds/car_sound.wav","null","audio-keyboard-response","503","536831","0.0-13.0-0.13","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","504","537839","0.0-13.0-1.13","longtest","","2","","","","","","",""
"null","Images/rooster_2.png","null","image-keyboard-response","505","538091","0.0-13.0-2.13","longtest","","2","1580682884992","non-match","rooster","car","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","506","540095","0.0-13.0-3.13","longtest","","2","","","","","","",""
"null","Sounds/train_sound.wav","null","audio-keyboard-response","507","541391","0.0-13.0-0.14","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","508","542389","0.0-13.0-1.14","longtest","","2","","","","","","",""
"null","Images/train_3.png","null","image-keyboard-response","509","542642","0.0-13.0-2.14","longtest","","2","1580682889542","match","train","train","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","510","544661","0.0-13.0-3.14","longtest","","2","","","","","","",""
"null","Sounds/rooster_sound.wav","null","audio-keyboard-response","511","545371","0.0-13.0-0.15","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","512","546389","0.0-13.0-1.15","longtest","","2","","","","","","",""
"null","Images/rooster_3.png","null","image-keyboard-response","513","546641","0.0-13.0-2.15","longtest","","2","1580682893542","match","rooster","rooster","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","514","548645","0.0-13.0-3.15","longtest","","2","","","","","","",""
"null","Sounds/whistle_sound.wav","null","audio-keyboard-response","515","549351","0.0-13.0-0.16","longtest","","2","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","516","550356","0.0-13.0-1.16","longtest","","2","","","","","","",""
"null","Images/whistle_3.png","null","image-keyboard-response","517","550609","0.0-13.0-2.16","longtest","","2","1580682897509","match","whistle","whistle","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","518","552626","0.0-13.0-3.16","longtest","","2","","","","","","",""
