"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","match_key","participant_id","stimulus","key_press","block","stim_onset","match_type","image_category","sound_category","audio_type","phase","correct"
"29583.510000025854","{""Q0"":""COGS219_2020_01""}","survey-text","0","29639","0.0-0.0","l","COGS219_2020_01","","","","","","","","","",""
"59726.46500001429","","html-keyboard-response","1","89376","0.0-1.0","l","COGS219_2020_01","<p>Use KEYBOARD 1 (match RIGHT)</p><p>Press MATCH to continue.</p>","76","","","","","","","",""
"2166862.3249999946","","html-keyboard-response","2","2255568","0.0-2.0","l","COGS219_2020_01","<p>Welcome to the experiment.</p>","32","","","","","","","",""
"16361.169999989215","","html-keyboard-response","3","2271935","0.0-3.0","l","COGS219_2020_01","<p>Thank you for agreeing to participate in this study.</p><p>If during any part of the procedure you must stop for any reason, please inform the researcher that you do not wish to continue.</p>","32","","","","","","","",""
"21662.874999979977","","html-keyboard-response","4","2293599","0.0-4.0","l","COGS219_2020_01","<p>In this experiment, you will hear various words or sounds and see pictures of various animals and objects.</p><p>Most of the images will be of common everyday objects, such as cars, cats, cows, firearms, frogs, chickens, whistles, trains, motorcycles, and dogs.</p><p>Some of the images will be real-life stills, while others will be cartoons.</p>","32","","","","","","","",""
"20814.560000027996","","html-keyboard-response","5","2314415","0.0-5.0","l","COGS219_2020_01","<p>Sometimes, the word/sound will match the picture, for example you'll hear a meowing sound and see a cat.</p><p>Other times, the picture will not match the sound or word.</p><p>Your task is to decide as quickly as possible if the word/sound matches the picture or not. </p>","32","","","","","","","",""
"16990.684999967925","","html-keyboard-response","6","2331406","0.0-6.0","l","COGS219_2020_01","<p>For example, if you hear the word ""cat"" or hear a meowing sound, and then see a picture of a cat, you should press the MATCH key.</p><p> If the sound and image do not match, press the NOT-MATCH key to indicate that there is not a match.</p>","32","","","","","","","",""
"17551.344999985304","","html-keyboard-response","7","2348958","0.0-7.0","l","COGS219_2020_01","<p>If you make a mistake, you will hear a buzzing sound instead of a more pleasant sound.</p><p> Try to respond as quickly as possible, while making as few errors as possible. If you are making mistakes, you are probably rushing.</p>","32","","","","","","","",""
"13918.440000037663","","html-keyboard-response","8","2362878","0.0-8.0","l","COGS219_2020_01","<p>Please try to not move or blink your eyes during the presentation of the images. You can move and blink between images.</p><p>During the experiment there will be some breaks during which you can rest your eyes.</p>","32","","","","","","","",""
"13919.01000001235","","html-keyboard-response","9","2376798","0.0-9.0","l","COGS219_2020_01","<p>We will begin with 10 practice trials. Please let the experimenter know if you have any questions.</p>","32","","","","","","","",""
"null","","audio-keyboard-response","10","2377790","0.0-10.0-0.0","l","COGS219_2020_01","Sounds/frog_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","11","2378780","0.0-10.0-1.0","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1102.7999999932945","","image-keyboard-response","12","2379885","0.0-10.0-2.0","l","COGS219_2020_01","Images/frog_cartoon.png","76","0","1581180235366","match","frog","frog","sound","practice","true"
"null","","audio-keyboard-response","13","2381898","0.0-10.0-3.0","l","COGS219_2020_01","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","14","2382930","0.0-10.0-0.1","l","COGS219_2020_01","Sounds/cow_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","15","2383930","0.0-10.0-1.1","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1073.4250000095926","","image-keyboard-response","16","2385005","0.0-10.0-2.1","l","COGS219_2020_01","Images/cow_1.png","76","0","1581180240515","match","cow","cow","label","practice","true"
"null","","audio-keyboard-response","17","2387009","0.0-10.0-3.1","l","COGS219_2020_01","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","18","2387710","0.0-10.0-0.2","l","COGS219_2020_01","Sounds/whistle_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","19","2388714","0.0-10.0-1.2","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1106.2950000050478","","image-keyboard-response","20","2389821","0.0-10.0-2.2","l","COGS219_2020_01","Images/car_cartoon.png","65","0","1581180245299","non-match","car","whistle","sound","practice","true"
"null","","audio-keyboard-response","21","2391829","0.0-10.0-3.2","l","COGS219_2020_01","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","22","2392949","0.0-10.0-0.3","l","COGS219_2020_01","Sounds/motorcycle_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","23","2393947","0.0-10.0-1.3","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1024.7850000159815","","image-keyboard-response","24","2394973","0.0-10.0-2.3","l","COGS219_2020_01","Images/car_orig.png","76","0","1581180250532","non-match","car","motorcycle","sound","practice","false"
"null","","audio-keyboard-response","25","2396986","0.0-10.0-3.3","l","COGS219_2020_01","Sounds/incorrect.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","26","2398069","0.0-10.0-0.4","l","COGS219_2020_01","Sounds/car_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","27","2399063","0.0-10.0-1.4","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"900.4450000356883","","image-keyboard-response","28","2399965","0.0-10.0-2.4","l","COGS219_2020_01","Images/car_1.png","76","0","1581180255649","match","car","car","sound","practice","true"
"null","","audio-keyboard-response","29","2401969","0.0-10.0-3.4","l","COGS219_2020_01","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","30","2403030","0.0-10.0-0.5","l","COGS219_2020_01","Sounds/car_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","31","2404047","0.0-10.0-1.5","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"732.6349999639206","","image-keyboard-response","32","2404781","0.0-10.0-2.5","l","COGS219_2020_01","Images/frog_orig.png","65","0","1581180260632","non-match","frog","car","sound","practice","true"
"null","","audio-keyboard-response","33","2406789","0.0-10.0-3.5","l","COGS219_2020_01","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","34","2407629","0.0-10.0-0.6","l","COGS219_2020_01","Sounds/cat_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","35","2408647","0.0-10.0-1.6","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"740.60499999905","","image-keyboard-response","36","2409389","0.0-10.0-2.6","l","COGS219_2020_01","Images/cat_3.png","76","0","1581180265232","match","cat","cat","sound","practice","true"
"null","","audio-keyboard-response","37","2411405","0.0-10.0-3.6","l","COGS219_2020_01","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","38","2412069","0.0-10.0-0.7","l","COGS219_2020_01","Sounds/dog_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","39","2413063","0.0-10.0-1.7","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"772.5050000008196","","image-keyboard-response","40","2413837","0.0-10.0-2.7","l","COGS219_2020_01","Images/dog_cartoon.png","76","0","1581180269649","match","dog","dog","label","practice","true"
"null","","audio-keyboard-response","41","2415841","0.0-10.0-3.7","l","COGS219_2020_01","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","42","2417129","0.0-10.0-0.8","l","COGS219_2020_01","Sounds/train_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","43","2418147","0.0-10.0-1.8","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"616.6550000198185","","image-keyboard-response","44","2418765","0.0-10.0-2.8","l","COGS219_2020_01","Images/frog_1.png","65","0","1581180274732","non-match","frog","train","label","practice","true"
"null","","audio-keyboard-response","45","2420781","0.0-10.0-3.8","l","COGS219_2020_01","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","46","2421789","0.0-10.0-0.9","l","COGS219_2020_01","Sounds/cow_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","47","2422780","0.0-10.0-1.9","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"2143.575000052806","","image-keyboard-response","48","2424925","0.0-10.0-2.9","l","COGS219_2020_01","Images/cow_orig.png","76","0","1581180279365","match","cow","cow","label","practice","true"
"null","","audio-keyboard-response","49","2426941","0.0-10.0-3.9","l","COGS219_2020_01","Sounds/correct.wav","null","0","","","","","","",""
"31711.375000013504","","html-keyboard-response","50","2458652","0.0-11.0","l","COGS219_2020_01","<p>The rest of the experiment is divided into five blocks with 100 trials in each block. It will take about 45 minutes to complete.</p><p>The experimenter will be in the outer room and you can communicate with them through the monitor if you have any questions or wish to stop the experiment.</p>","32","","","","","","","",""
"9614.6300000255","","html-keyboard-response","51","2468268","0.0-12.0","l","COGS219_2020_01","<p>Remember, please try not to move or blink your eyes during the presentation of the images. </p><p>At the end of the experiment, we will show you your scores on the task so you can see how you did.</p><p>The experiment will start on the next screen.</p>","32","","","","","","","",""
"null","","audio-keyboard-response","52","2471320","0.0-13.0-0.0","l","COGS219_2020_01","Sounds/cow_sound.wav","null","1","","","","","","",""
"null","","html-keyboard-response","53","2472313","0.0-13.0-1.0","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"1137.4850000138395","","image-keyboard-response","54","2473452","0.0-13.0-2.0","l","COGS219_2020_01","Images/cow_cartoon.png","76","1","1581180328898","match","cow","cow","sound","test","true"
"null","","audio-keyboard-response","55","2475460","0.0-13.0-3.0","l","COGS219_2020_01","Sounds/correct.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","56","2476302","0.0-13.0-0.1","l","COGS219_2020_01","Sounds/cat_sound.wav","null","1","","","","","","",""
"null","","html-keyboard-response","57","2477296","0.0-13.0-1.1","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"650.2500000060536","","image-keyboard-response","58","2477948","0.0-13.0-2.1","l","COGS219_2020_01","Images/cow_cartoon.png","65","1","1581180333881","non-match","cow","cat","sound","test","true"
"null","","audio-keyboard-response","59","2479953","0.0-13.0-3.1","l","COGS219_2020_01","Sounds/correct.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","60","2480660","0.0-13.0-0.2","l","COGS219_2020_01","Sounds/rooster_sound.wav","null","1","","","","","","",""
"null","","html-keyboard-response","61","2481663","0.0-13.0-1.2","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"635.4900000151247","","image-keyboard-response","62","2482300","0.0-13.0-2.2","l","COGS219_2020_01","Images/rooster_1.png","76","1","1581180338248","match","rooster","rooster","sound","test","true"
"null","","audio-keyboard-response","63","2484303","0.0-13.0-3.2","l","COGS219_2020_01","Sounds/correct.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","64","2485300","0.0-13.0-0.3","l","COGS219_2020_01","Sounds/cow_sound.wav","null","1","","","","","","",""
"null","","html-keyboard-response","65","2486297","0.0-13.0-1.3","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"1201.9950000103563","","image-keyboard-response","66","2487500","0.0-13.0-2.3","l","COGS219_2020_01","Images/cow_3.png","65","1","1581180342882","match","cow","cow","sound","test","false"
"null","","audio-keyboard-response","67","2489505","0.0-13.0-3.3","l","COGS219_2020_01","Sounds/incorrect.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","68","2490320","0.0-13.0-0.4","l","COGS219_2020_01","Sounds/cat_sound.wav","null","1","","","","","","",""
"null","","html-keyboard-response","69","2491313","0.0-13.0-1.4","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"553.4850000403821","","image-keyboard-response","70","2491868","0.0-13.0-2.4","l","COGS219_2020_01","Images/dog_1.png","65","1","1581180347898","non-match","dog","cat","sound","test","true"
"null","","audio-keyboard-response","71","2493873","0.0-13.0-3.4","l","COGS219_2020_01","Sounds/correct.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","72","2494460","0.0-13.0-0.5","l","COGS219_2020_01","Sounds/gun_sound.wav","null","1","","","","","","",""
"null","","html-keyboard-response","73","2495463","0.0-13.0-1.5","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"1523.2400000095367","","image-keyboard-response","74","2496988","0.0-13.0-2.5","l","COGS219_2020_01","Images/motorcycle_2.png","65","1","1581180352048","non-match","motorcycle","gun","sound","test","true"
"null","","audio-keyboard-response","75","2499003","0.0-13.0-3.5","l","COGS219_2020_01","Sounds/correct.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","76","2499700","0.0-13.0-0.6","l","COGS219_2020_01","Sounds/rooster_sound.wav","null","1","","","","","","",""
"null","","html-keyboard-response","77","2500697","0.0-13.0-1.6","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"834.3099999474362","","image-keyboard-response","78","2501532","0.0-13.0-2.6","l","COGS219_2020_01","Images/rooster_2.png","76","1","1581180357282","match","rooster","rooster","sound","test","true"
"null","","audio-keyboard-response","79","2503535","0.0-13.0-3.6","l","COGS219_2020_01","Sounds/correct.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","80","2504340","0.0-13.0-0.7","l","COGS219_2020_01","Sounds/cat_sound.wav","null","1","","","","","","",""
"null","","html-keyboard-response","81","2505330","0.0-13.0-1.7","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"888.5400000144728","","image-keyboard-response","82","2506220","0.0-13.0-2.7","l","COGS219_2020_01","Images/cat_1.png","76","1","1581180361915","match","cat","cat","sound","test","true"
"null","","audio-keyboard-response","83","2508234","0.0-13.0-3.7","l","COGS219_2020_01","Sounds/correct.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","84","2508940","0.0-13.0-0.8","l","COGS219_2020_01","Sounds/dog_sound.wav","null","1","","","","","","",""
"null","","html-keyboard-response","85","2509930","0.0-13.0-1.8","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"896.5650000027381","","image-keyboard-response","86","2510828","0.0-13.0-2.8","l","COGS219_2020_01","Images/frog_3.png","65","1","1581180366515","non-match","frog","dog","sound","test","true"
"null","","audio-keyboard-response","87","2512835","0.0-13.0-3.8","l","COGS219_2020_01","Sounds/correct.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","88","2513980","0.0-13.0-0.9","l","COGS219_2020_01","Sounds/motorcycle_label.wav","null","1","","","","","","",""
"null","","html-keyboard-response","89","2514980","0.0-13.0-1.9","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"854.6649999916553","","image-keyboard-response","90","2515836","0.0-13.0-2.9","l","COGS219_2020_01","Images/motorcycle_3.png","76","1","1581180371565","match","motorcycle","motorcycle","label","test","true"
"null","","audio-keyboard-response","91","2517853","0.0-13.0-3.9","l","COGS219_2020_01","Sounds/correct.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","92","2518520","0.0-13.0-0.10","l","COGS219_2020_01","Sounds/dog_label.wav","null","1","","","","","","",""
"null","","html-keyboard-response","93","2519513","0.0-13.0-1.10","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"705.1800000481308","","image-keyboard-response","94","2520219","0.0-13.0-2.10","l","COGS219_2020_01","Images/motorcycle_cartoon.png","65","1","1581180376099","non-match","motorcycle","dog","label","test","true"
"null","","audio-keyboard-response","95","2522234","0.0-13.0-3.10","l","COGS219_2020_01","Sounds/correct.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","96","2522920","0.0-13.0-0.11","l","COGS219_2020_01","Sounds/dog_sound.wav","null","1","","","","","","",""
"null","","html-keyboard-response","97","2523913","0.0-13.0-1.11","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"625.034999975469","","image-keyboard-response","98","2524539","0.0-13.0-2.11","l","COGS219_2020_01","Images/car_2.png","65","1","1581180380499","non-match","car","dog","sound","test","true"
"null","","audio-keyboard-response","99","2526551","0.0-13.0-3.11","l","COGS219_2020_01","Sounds/correct.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","100","2527640","0.0-13.0-0.12","l","COGS219_2020_01","Sounds/car_label.wav","null","1","","","","","","",""
"null","","html-keyboard-response","101","2528630","0.0-13.0-1.12","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"868.625000002794","","image-keyboard-response","102","2529500","0.0-13.0-2.12","l","COGS219_2020_01","Images/car_cartoon.png","76","1","1581180385215","match","car","car","label","test","true"
"null","","audio-keyboard-response","103","2531505","0.0-13.0-3.12","l","COGS219_2020_01","Sounds/correct.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","104","2532200","0.0-13.0-0.13","l","COGS219_2020_01","Sounds/dog_sound.wav","null","1","","","","","","",""
"null","","html-keyboard-response","105","2533197","0.0-13.0-1.13","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"861.3499999628402","","image-keyboard-response","106","2534059","0.0-13.0-2.13","l","COGS219_2020_01","Images/dog_2.png","76","1","1581180389782","match","dog","dog","sound","test","true"
"null","","audio-keyboard-response","107","2536070","0.0-13.0-3.13","l","COGS219_2020_01","Sounds/correct.wav","null","1","","","","","","",""
"null","","audio-keyboard-response","108","2536980","0.0-13.0-0.14","l","COGS219_2020_01","Sounds/frog_sound.wav","null","1","","","","","","",""
"null","","html-keyboard-response","109","2537980","0.0-13.0-1.14","l","COGS219_2020_01","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
