"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","match_key","participant_id","stimulus","key_press","block","stim_onset","match_type","image_category","sound_category","audio_type","phase","correct"
"9064.400000002934","{""Q0"":""12""}","survey-text","0","9108","0.0-0.0","a","12","","","","","","","","","",""
"32631.569999997737","","html-keyboard-response","1","41749","0.0-1.0","a","12","<p>Use KEYBOARD 2 (match LEFT)</p><p>Press MATCH to continue.</p>","65","","","","","","","",""
"2070364.2949999925","","html-keyboard-response","2","2112292","0.0-2.0","a","12","<p>Welcome to the experiment.</p>","32","","","","","","","",""
"10841.274999998976","","html-keyboard-response","3","2123139","0.0-3.0","a","12","<p>Thank you for agreeing to participate in this study.</p><p>If during any part of the procedure you must stop for any reason, please inform the researcher that you do not wish to continue.</p>","32","","","","","","","",""
"20398.784999997355","","html-keyboard-response","4","2143539","0.0-4.0","a","12","<p>In this experiment, you will hear various words or sounds and see pictures of various animals and objects.</p><p>Most of the images will be of common everyday objects, such as cars, cats, cows, firearms, frogs, chickens, whistles, trains, motorcycles, and dogs.</p><p>Some of the images will be real-life stills, while others will be cartoons.</p>","32","","","","","","","",""
"15990.655000001192","","html-keyboard-response","5","2159531","0.0-5.0","a","12","<p>Sometimes, the word/sound will match the picture, for example you'll hear a meowing sound and see a cat.</p><p>Other times, the picture will not match the sound or word.</p><p>Your task is to decide as quickly as possible if the word/sound matches the picture or not. </p>","32","","","","","","","",""
"14695.374999995343","","html-keyboard-response","6","2174220","0.0-6.0","a","12","<p>For example, if you hear the word ""cat"" or hear a meowing sound, and then see a picture of a cat, you should press the MATCH key.</p><p> If the sound and image do not match, press the NOT-MATCH key to indicate that there is not a match.</p>","32","","","","","","","",""
"7325.855000003241","","html-keyboard-response","7","2181547","0.0-7.0","a","12","<p>If you make a mistake, you will hear a buzzing sound instead of a more pleasant sound.</p><p> Try to respond as quickly as possible, while making as few errors as possible. If you are making mistakes, you are probably rushing.</p>","32","","","","","","","",""
"14943.969999992754","","html-keyboard-response","8","2196492","0.0-8.0","a","12","<p>Please try to not move or blink your eyes during the presentation of the images. You can move and blink between images.</p><p>During the experiment there will be some breaks during which you can rest your eyes.</p>","32","","","","","","","",""
"29359.075000000186","","html-keyboard-response","9","2225852","0.0-9.0","a","12","<p>We will begin with 10 practice trials. Please let the experimenter know if you have any questions.</p>","32","","","","","","","",""
"null","","audio-keyboard-response","10","2227057","0.0-10.0-0.0","a","12","Sounds/motorcycle_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","11","2228050","0.0-10.0-1.0","a","12","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1983.6700000013225","","image-keyboard-response","12","2230035","0.0-10.0-2.0","a","12","Images/train_2.png","65","0","1581648057004","non-match","train","motorcycle","sound","practice","false"
"null","","audio-keyboard-response","13","2232040","0.0-10.0-3.0","a","12","Sounds/incorrect.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","14","2233137","0.0-10.0-0.1","a","12","Sounds/motorcycle_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","15","2234133","0.0-10.0-1.1","a","12","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1532.9550000028685","","image-keyboard-response","16","2235676","0.0-10.0-2.1","a","12","Images/cat_3.png","76","0","1581648063087","non-match","cat","motorcycle","sound","practice","true"
"null","","audio-keyboard-response","17","2237687","0.0-10.0-3.1","a","12","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","18","2238385","0.0-10.0-0.2","a","12","Sounds/rooster_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","19","2239375","0.0-10.0-1.2","a","12","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1123.5950000118464","","image-keyboard-response","20","2240500","0.0-10.0-2.2","a","12","Images/cow_orig.png","76","0","1581648068329","non-match","cow","rooster","label","practice","true"
"null","","audio-keyboard-response","21","2242513","0.0-10.0-3.2","a","12","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","22","2243205","0.0-10.0-0.3","a","12","Sounds/rooster_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","23","2244209","0.0-10.0-1.3","a","12","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1129.834999999497","","image-keyboard-response","24","2245340","0.0-10.0-2.3","a","12","Images/car_3.png","76","0","1581648073163","non-match","car","rooster","sound","practice","true"
"null","","audio-keyboard-response","25","2247347","0.0-10.0-3.3","a","12","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","26","2248485","0.0-10.0-0.4","a","12","Sounds/motorcycle_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","27","2249475","0.0-10.0-1.4","a","12","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"447.41999999666587","","image-keyboard-response","28","2249924","0.0-10.0-2.4","a","12","Images/motorcycle_3.png","65","0","1581648078430","match","motorcycle","motorcycle","label","practice","true"
"null","","audio-keyboard-response","29","2251932","0.0-10.0-3.4","a","12","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","30","2253045","0.0-10.0-0.5","a","12","Sounds/motorcycle_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","31","2254042","0.0-10.0-1.5","a","12","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1616.8650000034831","","image-keyboard-response","32","2255660","0.0-10.0-2.5","a","12","Images/motorcycle_2.png","65","0","1581648082996","match","motorcycle","motorcycle","sound","practice","true"
"null","","audio-keyboard-response","33","2257668","0.0-10.0-3.5","a","12","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","34","2258325","0.0-10.0-0.6","a","12","Sounds/dog_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","35","2259326","0.0-10.0-1.6","a","12","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"493.2049999916926","","image-keyboard-response","36","2259820","0.0-10.0-2.6","a","12","Images/dog_orig.png","65","0","1581648088279","match","dog","dog","label","practice","true"
"null","","audio-keyboard-response","37","2261832","0.0-10.0-3.6","a","12","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","38","2262405","0.0-10.0-0.7","a","12","Sounds/gun_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","39","2263409","0.0-10.0-1.7","a","12","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1017.9750000094064","","image-keyboard-response","40","2264428","0.0-10.0-2.7","a","12","Images/train_orig.png","76","0","1581648092363","non-match","train","gun","sound","practice","true"
"null","","audio-keyboard-response","41","2266431","0.0-10.0-3.7","a","12","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","42","2267125","0.0-10.0-0.8","a","12","Sounds/whistle_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","43","2268126","0.0-10.0-1.8","a","12","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1077.6399999884889","","image-keyboard-response","44","2269204","0.0-10.0-2.8","a","12","Images/frog_1.png","76","0","1581648097080","non-match","frog","whistle","label","practice","true"
"null","","audio-keyboard-response","45","2271215","0.0-10.0-3.8","a","12","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","46","2272285","0.0-10.0-0.9","a","12","Sounds/car_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","47","2273276","0.0-10.0-1.9","a","12","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"822.9400000129826","","image-keyboard-response","48","2274100","0.0-10.0-2.9","a","12","Images/train_1.png","76","0","1581648102230","non-match","train","car","sound","practice","true"
"null","","audio-keyboard-response","49","2276115","0.0-10.0-3.9","a","12","Sounds/correct.wav","null","0","","","","","","",""
"31721.684999996796","","html-keyboard-response","50","2307832","0.0-11.0","a","12","<p>The rest of the experiment is divided into five blocks with 100 trials in each block. It will take about 45 minutes to complete.</p><p>The experimenter will be in the outer room and you can communicate with them through the monitor if you have any questions or wish to stop the experiment.</p>","32","","","","","","","",""
