"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","match_key","participant_id","stimulus","key_press","block","stim_onset","match_type","image_category","sound_category","audio_type","phase","correct"
"15100.70499998983","{""Q0"":""COGS219_2020_33""}","survey-text","0","15148","0.0-0.0","a","COGS219_2020_33","","","","","","","","","",""
"34725.749999983236","","html-keyboard-response","1","49885","0.0-1.0","a","COGS219_2020_33","<p>Use KEYBOARD 2 (match LEFT)</p><p>Press MATCH to continue.</p>","65","","","","","","","",""
"2199020.2600000193","","html-keyboard-response","2","2247923","0.0-2.0","a","COGS219_2020_33","<p>Welcome to the experiment.</p>","77","","","","","","","",""
"10587.240000022575","","html-keyboard-response","3","2258515","0.0-3.0","a","COGS219_2020_33","<p>Thank you for agreeing to participate in this study.</p><p>If during any part of the procedure you must stop for any reason, please inform the researcher that you do not wish to continue.</p>","77","","","","","","","",""
"17151.39499993529","","html-keyboard-response","4","2275668","0.0-4.0","a","COGS219_2020_33","<p>In this experiment, you will hear various words or sounds and see pictures of various animals and objects.</p><p>Most of the images will be of common everyday objects, such as cars, cats, cows, firearms, frogs, chickens, whistles, trains, motorcycles, and dogs.</p><p>Some of the images will be real-life stills, while others will be cartoons.</p>","77","","","","","","","",""
"13222.094999975525","","html-keyboard-response","5","2288891","0.0-5.0","a","COGS219_2020_33","<p>Sometimes, the word/sound will match the picture, for example you'll hear a meowing sound and see a cat.</p><p>Other times, the picture will not match the sound or word.</p><p>Your task is to decide as quickly as possible if the word/sound matches the picture or not. </p>","77","","","","","","","",""
"11910.724999965169","","html-keyboard-response","6","2300791","0.0-6.0","a","COGS219_2020_33","<p>For example, if you hear the word ""cat"" or hear a meowing sound, and then see a picture of a cat, you should press the MATCH key.</p><p> If the sound and image do not match, press the NOT-MATCH key to indicate that there is not a match.</p>","77","","","","","","","",""
"10798.73999999836","","html-keyboard-response","7","2311591","0.0-7.0","a","COGS219_2020_33","<p>If you make a mistake, you will hear a buzzing sound instead of a more pleasant sound.</p><p> Try to respond as quickly as possible, while making as few errors as possible. If you are making mistakes, you are probably rushing.</p>","77","","","","","","","",""
"10438.725000014529","","html-keyboard-response","8","2322031","0.0-8.0","a","COGS219_2020_33","<p>Please try to not move or blink your eyes during the presentation of the images. You can move and blink between images.</p><p>During the experiment there will be some breaks during which you can rest your eyes.</p>","77","","","","","","","",""
"37351.390000083484","","html-keyboard-response","9","2359384","0.0-9.0","a","COGS219_2020_33","<p>We will begin with 10 practice trials. Please let the experimenter know if you have any questions.</p>","76","","","","","","","",""
"null","","audio-keyboard-response","10","2360306","0.0-10.0-0.0","a","COGS219_2020_33","Sounds/cat_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","11","2361312","0.0-10.0-1.0","a","COGS219_2020_33","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1408.449999988079","","image-keyboard-response","12","2362723","0.0-10.0-2.0","a","COGS219_2020_33","Images/motorcycle_2.png","76","0","1583001708903","non-match","motorcycle","cat","sound","practice","true"
"null","","audio-keyboard-response","13","2364733","0.0-10.0-3.0","a","COGS219_2020_33","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","14","2365818","0.0-10.0-0.1","a","COGS219_2020_33","Sounds/car_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","15","2366812","0.0-10.0-1.1","a","COGS219_2020_33","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
