"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","match_key","participant_id","stimulus","key_press","block","stim_onset","match_type","image_category","sound_category","audio_type","phase","correct"
"28298.12499997206","{""Q0"":""COGS219_2020_07""}","survey-text","0","28332","0.0-0.0","l","COGS219_2020_07","","","","","","","","","",""
"34709.6550000133","","html-keyboard-response","1","63044","0.0-1.0","l","COGS219_2020_07","<p>Use KEYBOARD 1 (match RIGHT)</p><p>Press MATCH to continue.</p>","76","","","","","","","",""
"1979648.290000041","","html-keyboard-response","2","2041868","0.0-2.0","l","COGS219_2020_07","<p>Welcome to the experiment.</p>","13","","","","","","","",""
"10044.485000078566","","html-keyboard-response","3","2051915","0.0-3.0","l","COGS219_2020_07","<p>Thank you for agreeing to participate in this study.</p><p>If during any part of the procedure you must stop for any reason, please inform the researcher that you do not wish to continue.</p>","13","","","","","","","",""
"19423.64500008989","","html-keyboard-response","4","2071348","0.0-4.0","l","COGS219_2020_07","<p>In this experiment, you will hear various words or sounds and see pictures of various animals and objects.</p><p>Most of the images will be of common everyday objects, such as cars, cats, cows, firearms, frogs, chickens, whistles, trains, motorcycles, and dogs.</p><p>Some of the images will be real-life stills, while others will be cartoons.</p>","13","","","","","","","",""
"25407.264999928884","","html-keyboard-response","5","2096756","0.0-5.0","l","COGS219_2020_07","<p>Sometimes, the word/sound will match the picture, for example you'll hear a meowing sound and see a cat.</p><p>Other times, the picture will not match the sound or word.</p><p>Your task is to decide as quickly as possible if the word/sound matches the picture or not. </p>","13","","","","","","","",""
"14479.099999996834","","html-keyboard-response","6","2111236","0.0-6.0","l","COGS219_2020_07","<p>For example, if you hear the word ""cat"" or hear a meowing sound, and then see a picture of a cat, you should press the MATCH key.</p><p> If the sound and image do not match, press the NOT-MATCH key to indicate that there is not a match.</p>","13","","","","","","","",""
"12143.284999998286","","html-keyboard-response","7","2123380","0.0-7.0","l","COGS219_2020_07","<p>If you make a mistake, you will hear a buzzing sound instead of a more pleasant sound.</p><p> Try to respond as quickly as possible, while making as few errors as possible. If you are making mistakes, you are probably rushing.</p>","13","","","","","","","",""
"11823.205000022426","","html-keyboard-response","8","2135209","0.0-8.0","l","COGS219_2020_07","<p>Please try to not move or blink your eyes during the presentation of the images. You can move and blink between images.</p><p>During the experiment there will be some breaks during which you can rest your eyes.</p>","13","","","","","","","",""
"11151.979999965988","","html-keyboard-response","9","2146362","0.0-9.0","l","COGS219_2020_07","<p>We will begin with 10 practice trials. Please let the experimenter know if you have any questions.</p>","13","","","","","","","",""
"null","","audio-keyboard-response","10","2147137","0.0-10.0-0.0","l","COGS219_2020_07","Sounds/dog_sound.wav","null","0","","","","","","",""
