"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","match_key","participant_id","stimulus","key_press","block","stim_onset","match_type","image_category","sound_category","audio_type","phase","correct"
"4220.895000034943","{""Q0"":""41""}","survey-text","0","4225","0.0-0.0","l","41","","","","","","","","","",""
"99099.80999998515","","html-keyboard-response","1","103328","0.0-1.0","l","41","<p>Use KEYBOARD 1 (match RIGHT)</p><p>Press MATCH to continue.</p>","76","","","","","","","",""
"396558.7500000256","","html-keyboard-response","2","499893","0.0-2.0","l","41","<p>Welcome to the experiment.</p>","76","","","","","","","",""
"6984.950000012759","","html-keyboard-response","3","506883","0.0-3.0","l","41","<p>Thank you for agreeing to participate in this study.</p><p>If during any part of the procedure you must stop for any reason, please inform the researcher that you do not wish to continue.</p>","76","","","","","","","",""
"21583.824999979697","","html-keyboard-response","4","528468","0.0-4.0","l","41","<p>In this experiment, you will hear various words or sounds and see pictures of various animals and objects.</p><p>Most of the images will be of common everyday objects, such as cars, cats, cows, firearms, frogs, chickens, whistles, trains, motorcycles, and dogs.</p><p>Some of the images will be real-life stills, while others will be cartoons.</p>","76","","","","","","","",""
"20830.54999995511","","html-keyboard-response","5","549297","0.0-5.0","l","41","<p>Sometimes, the word/sound will match the picture, for example you'll hear a meowing sound and see a cat.</p><p>Other times, the picture will not match the sound or word.</p><p>Your task is to decide as quickly as possible if the word/sound matches the picture or not. </p>","76","","","","","","","",""
"13438.210000051185","","html-keyboard-response","6","562737","0.0-6.0","l","41","<p>For example, if you hear the word ""cat"" or hear a meowing sound, and then see a picture of a cat, you should press the MATCH key.</p><p> If the sound and image do not match, press the NOT-MATCH key to indicate that there is not a match.</p>","76","","","","","","","",""
"9598.56499999296","","html-keyboard-response","7","572337","0.0-7.0","l","41","<p>If you make a mistake, you will hear a buzzing sound instead of a more pleasant sound.</p><p> Try to respond as quickly as possible, while making as few errors as possible. If you are making mistakes, you are probably rushing.</p>","76","","","","","","","",""
"9838.86999997776","","html-keyboard-response","8","582177","0.0-8.0","l","41","<p>Please try to not move or blink your eyes during the presentation of the images. You can move and blink between images.</p><p>During the experiment there will be some breaks during which you can rest your eyes.</p>","76","","","","","","","",""
"5102.4250000482425","","html-keyboard-response","9","587280","0.0-9.0","l","41","<p>We will begin with 10 practice trials. Please let the experimenter know if you have any questions.</p>","76","","","","","","","",""
"null","","audio-keyboard-response","10","588143","0.0-10.0-0.0","l","41","Sounds/cat_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","11","589138","0.0-10.0-1.0","l","41","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"2892.630000016652","","image-keyboard-response","12","592033","0.0-10.0-2.0","l","41","Images/cow_cartoon.png","65","0","1583445388853","non-match","cow","cat","label","practice","true"
"null","","audio-keyboard-response","13","594049","0.0-10.0-3.0","l","41","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","14","594882","0.0-10.0-0.1","l","41","Sounds/cat_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","15","595871","0.0-10.0-1.1","l","41","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"991.9900000095367","","image-keyboard-response","16","596865","0.0-10.0-2.1","l","41","Images/gun_cartoon.png","65","0","1583445395586","non-match","gun","cat","sound","practice","true"
"null","","audio-keyboard-response","17","598874","0.0-10.0-3.1","l","41","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","18","600002","0.0-10.0-0.2","l","41","Sounds/motorcycle_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","19","601005","0.0-10.0-1.2","l","41","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"994.379999989178","","image-keyboard-response","20","602000","0.0-10.0-2.2","l","41","Images/motorcycle_3.png","76","0","1583445400719","match","motorcycle","motorcycle","sound","practice","true"
"null","","audio-keyboard-response","21","604009","0.0-10.0-3.2","l","41","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","22","604582","0.0-10.0-0.3","l","41","Sounds/gun_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","23","605571","0.0-10.0-1.3","l","41","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1003.9700000197627","","image-keyboard-response","24","606577","0.0-10.0-2.3","l","41","Images/car_orig.png","65","0","1583445405286","non-match","car","gun","sound","practice","true"
"null","","audio-keyboard-response","25","608592","0.0-10.0-3.3","l","41","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","26","609686","0.0-10.0-0.4","l","41","Sounds/car_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","27","610692","0.0-10.0-1.4","l","41","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"751.2200000346638","","image-keyboard-response","28","611445","0.0-10.0-2.4","l","41","Images/car_3.png","76","0","1583445410406","match","car","car","sound","practice","true"
"null","","audio-keyboard-response","29","613449","0.0-10.0-3.4","l","41","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","30","614726","0.0-10.0-0.5","l","41","Sounds/train_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","31","615726","0.0-10.0-1.5","l","41","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"2181.5049999859184","","image-keyboard-response","32","617908","0.0-10.0-2.5","l","41","Images/train_orig.png","76","0","1583445415440","match","train","train","label","practice","true"
"null","","audio-keyboard-response","33","619917","0.0-10.0-3.5","l","41","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","34","621066","0.0-10.0-0.6","l","41","Sounds/motorcycle_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","35","622059","0.0-10.0-1.6","l","41","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"600.5899999872781","","image-keyboard-response","36","622661","0.0-10.0-2.6","l","41","Images/motorcycle_1.png","76","0","1583445421773","match","motorcycle","motorcycle","label","practice","true"
"null","","audio-keyboard-response","37","624666","0.0-10.0-3.6","l","41","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","38","625506","0.0-10.0-0.7","l","41","Sounds/cat_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","39","626509","0.0-10.0-1.7","l","41","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"966.359999962151","","image-keyboard-response","40","627476","0.0-10.0-2.7","l","41","Images/frog_orig.png","65","0","1583445426223","non-match","frog","cat","label","practice","true"
"null","","audio-keyboard-response","41","629483","0.0-10.0-3.7","l","41","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","42","630506","0.0-10.0-0.8","l","41","Sounds/cow_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","43","631509","0.0-10.0-1.8","l","41","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"878.2300000311807","","image-keyboard-response","44","632388","0.0-10.0-2.8","l","41","Images/cat_3.png","65","0","1583445431223","non-match","cat","cow","label","practice","true"
"null","","audio-keyboard-response","45","634399","0.0-10.0-3.8","l","41","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","46","635506","0.0-10.0-0.9","l","41","Sounds/motorcycle_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","47","636509","0.0-10.0-1.9","l","41","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"742.035000002943","","image-keyboard-response","48","637253","0.0-10.0-2.9","l","41","Images/motorcycle_orig.png","76","0","1583445436223","match","motorcycle","motorcycle","label","practice","true"
"null","","audio-keyboard-response","49","639263","0.0-10.0-3.9","l","41","Sounds/correct.wav","null","0","","","","","","",""
"32229.29500002647","","html-keyboard-response","50","671484","0.0-11.0","l","41","<p>The rest of the experiment is divided into five blocks with 100 trials in each block. It will take about 45 minutes to complete.</p><p>The experimenter will be in the outer room and you can communicate with them through the monitor if you have any questions or wish to stop the experiment.</p>","76","","","","","","","",""
"5918.730000033975","","html-keyboard-response","51","677404","0.0-12.0","l","41","<p>Remember, please try not to move or blink your eyes during the presentation of the images. </p><p>At the end of the experiment, we will show you your scores on the task so you can see how you did.</p><p>The experiment will start on the next screen.</p>","76","","","","","","","",""
"null","","audio-keyboard-response","52","680266","0.0-13.0-0.0","l","41","Sounds/cat_sound.wav","null","1","","","","","","",""
"null","","html-keyboard-response","53","681268","0.0-13.0-1.0","l","41","<p style=""font-size: 48px;"">+</p>","null","1","","","","","","",""
"935.3000000119209","","image-keyboard-response","54","682205","0.0-13.0-2.0","l","41","Images/cat_2.png","76","1","1583445480982","match","cat","cat","sound","test","true"
"null","","audio-keyboard-response","55","684223","0.0-13.0-3.0","l","41","Sounds/correct.wav","null","1","","","","","","",""
