Category	Segment number	Segment Good	Eye Blinks	Eye Movements	Bad Channels
cosocorr	1	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	2	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	3	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	4	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	5	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	6	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	7	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	8	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	9	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	10	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	11	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	12	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	13	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	14	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	15	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	16	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	17	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	18	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	19	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	20	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	21	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	22	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	23	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	24	false	true	false	17, 21, 25
cosocorr	25	true	false	false	26, 53, 54, 55, 61, 62, 79, 80, 106
cosocorr	26	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	27	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	28	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	29	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	30	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	31	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	32	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	33	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	34	true	false	false	55, 61, 53, 54, 62, 79, 80, 106
cosocorr	35	true	false	false	55, 61, 53, 54, 62, 79, 80, 106
cosocorr	36	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	37	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	38	true	false	false	55, 61, 53, 54, 62, 79, 80, 106
cosocorr	39	true	false	false	55, 53, 54, 61, 62, 79, 80, 106
cosocorr	40	true	false	false	55, 61, 53, 54, 62, 79, 80, 106
cosocorr	41	true	false	false	55, 61, 53, 54, 62, 79, 80, 106
cosocorr	42	true	false	false	55, 61, 53, 54, 62, 79, 80, 106
cosocorr	43	true	false	false	55, 53, 54, 61, 62, 79, 80, 106
cosocorr	44	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	45	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
cosocorr	46	true	false	false	53, 54, 55, 61, 62, 79, 80, 106
