Category	Segment number	Segment Good	Eye Blinks	Eye Movements	Bad Channels
cosocorr	1	true	false	false	81, 88
cosocorr	2	true	false	false	81, 88
cosocorr	3	true	false	false	81, 88
cosocorr	4	true	false	false	81, 88
cosocorr	5	true	false	false	81, 88
cosocorr	6	true	false	false	81, 88
cosocorr	7	true	false	false	81, 88
cosocorr	8	true	false	false	81, 88
cosocorr	9	true	false	false	81, 88
cosocorr	10	true	false	false	81, 88
cosocorr	11	true	false	false	81, 88
cosocorr	12	true	false	false	81, 88
cosocorr	13	true	false	false	81, 88
cosocorr	14	true	false	false	81, 88
cosocorr	15	true	false	false	81, 88
cosocorr	16	true	false	false	81, 88
cosocorr	17	true	false	false	81, 88
cosocorr	18	true	false	false	81, 88
cosocorr	19	true	false	false	81, 88
cosocorr	20	true	false	false	81, 88
cosocorr	21	true	false	false	81, 88
cosocorr	22	true	false	false	81, 88
cosocorr	23	true	false	false	81, 88
cosocorr	24	true	false	false	81, 88
cosocorr	25	true	false	false	81, 88
cosocorr	26	true	false	false	81, 88
cosocorr	27	true	false	false	81, 88
cosocorr	28	true	false	false	81, 88
cosocorr	29	true	false	false	81, 88
cosocorr	30	true	false	false	81, 88
cosocorr	31	true	false	false	81, 88
cosocorr	32	true	false	false	81, 88
cosocorr	33	true	false	false	81, 88
cosocorr	34	true	false	false	81, 88
cosocorr	35	true	false	false	81, 88
cosocorr	36	true	false	false	81, 88
cosocorr	37	true	false	false	81, 88
cosocorr	38	true	false	false	81, 88
cosocorr	39	true	false	false	81, 88
cosocorr	40	true	false	false	81, 88
cosocorr	41	true	false	false	81, 88
cosocorr	42	true	false	false	81, 88
cosocorr	43	true	false	false	81, 88
cosocorr	44	true	false	false	81, 88
cosocorr	45	true	false	false	81, 88
cosocorr	46	true	false	false	81, 88
cosocorr	47	true	false	false	88, 81
cosocorr	48	true	false	false	81, 88
cosocorr	49	true	false	false	81, 88
cosocorr	50	true	false	false	81, 88
cosocorr	51	true	false	false	81, 88
cosocorr	52	true	false	false	81, 88
cosocorr	53	true	false	false	81, 88
cosocorr	54	true	false	false	81, 88
cosocorr	55	true	false	false	81, 88
cosocorr	56	true	false	false	88, 81
cosocorr	57	true	false	false	81, 88
cosocorr	58	true	false	false	88, 81
cosocorr	59	true	false	false	81, 88
cosocorr	60	true	false	false	81, 88
cosocorr	61	true	false	false	88, 81
cosocorr	62	true	false	false	88, 81
cosocorr	63	true	false	false	81, 88
cosocorr	64	true	false	false	81, 88
cosocorr	65	true	false	false	81, 88
cosocorr	66	true	false	false	88, 81
cosocorr	67	true	false	false	88, 81
cosocorr	68	true	false	false	81, 88
cosocorr	69	true	false	false	81, 88
cosocorr	70	true	false	false	81, 88
cosocorr	71	true	false	false	81, 88
cosocorr	72	true	false	false	88, 81
cosocorr	73	true	false	false	81, 88
cosocorr	74	true	false	false	88, 81
cosocorr	75	true	false	false	81, 88
cosocorr	76	true	false	false	81, 88
cosocorr	77	true	false	false	88, 81
cosocorr	78	true	false	false	81, 88
cosocorr	79	true	false	false	81, 88
cosocorr	80	true	false	false	81, 88
cosocorr	81	true	false	false	62, 88, 81
cosocorr	82	true	false	false	62, 81, 88
cosocorr	83	true	false	false	62, 88, 81
cosocorr	84	true	false	false	88, 81
cosocorr	85	true	false	false	88, 81
cosocorr	86	true	false	false	88, 81
cosocorr	87	true	false	false	81, 88
cosocorr	88	true	false	false	51, 62, 64, 81, 88
cosocorr	89	true	false	false	81, 88
cosocorr	90	true	false	false	88, 81
cosocorr	91	true	false	false	81, 88
cosocorr	92	true	false	false	88, 81
cosocorr	93	true	false	false	64, 81, 88
cosocorr	94	true	false	false	51, 64, 81, 88
cosocorr	95	true	false	false	81, 88
cosocorr	96	true	false	false	81, 88
cosocorr	97	true	false	false	51, 64, 81, 88
cosocorr	98	true	false	false	51, 64, 81, 88
cosocorr	99	true	false	false	88, 81
cosocorr	100	true	false	false	64, 88, 81
cosocorr	101	true	false	false	51, 64, 81, 88
cosocorr	102	true	false	false	51, 64, 81, 88
cosocorr	103	true	false	false	51, 64, 81, 88
cosocorr	104	true	false	false	51, 64, 81, 88
cosocorr	105	true	false	false	51, 64, 88, 81
cosocorr	106	true	false	false	51, 64, 81, 88
cosocorr	107	true	false	false	51, 64, 81, 88
cosocorr	108	false	true	false	51, 64, 88
cosocorr	109	true	false	false	88, 81
cosocorr	110	true	false	false	51, 64, 81, 88
cosocorr	111	true	false	false	51, 64, 81, 88
cosocorr	112	true	false	false	51, 64, 81, 88
cosocorr	113	true	false	false	88, 119, 81
cosocorr	114	true	false	false	51, 64, 81, 88
cosocorr	115	true	false	false	88, 81
cosocorr	116	true	false	false	51, 64, 81, 88
colacorr	1	true	false	false	81, 88
colacorr	2	true	false	false	81, 88
