Category	Segment number	Segment Good	Eye Blinks	Eye Movements	Bad Channels
cosocorr	1	true	false	false	119
cosocorr	2	true	false	false	119
cosocorr	3	true	false	false	119
cosocorr	4	true	false	false	119
cosocorr	5	true	false	false	119
cosocorr	6	true	false	false	119
cosocorr	7	true	false	false	119
cosocorr	8	true	false	false	119
cosocorr	9	true	false	false	119
cosocorr	10	true	false	false	119
cosocorr	11	true	false	false	119
cosocorr	12	true	false	false	119
cosocorr	13	true	false	false	119
cosocorr	14	true	false	false	119
cosocorr	15	true	false	false	119
cosocorr	16	true	false	false	119
cosocorr	17	true	false	false	119
cosocorr	18	true	false	false	119
cosocorr	19	true	false	false	119
cosocorr	20	true	false	false	114, 119
cosocorr	21	true	false	false	119
cosocorr	22	true	false	false	114, 119
cosocorr	23	true	false	false	114, 119
cosocorr	24	true	false	false	114, 119
cosocorr	25	true	false	false	119
cosocorr	26	true	false	false	119
cosocorr	27	true	false	false	119
cosocorr	28	true	false	false	114, 119
cosocorr	29	true	false	false	119
cosocorr	30	true	false	false	119
cosocorr	31	true	false	false	119
cosocorr	32	true	false	false	119
cosocorr	33	true	false	false	119
cosocorr	34	true	false	false	119
cosocorr	35	true	false	false	119
cosocorr	36	true	false	false	119
cosocorr	37	false	true	false	119
cosocorr	38	true	false	false	119
cosocorr	39	false	true	false	119
cosocorr	40	true	false	false	109, 115, 119
cosocorr	41	true	false	false	119
cosocorr	42	true	false	false	119
cosocorr	43	true	false	false	119
cosocorr	44	true	false	false	119
cosocorr	45	false	true	false	25
cosocorr	46	true	false	false	119
cosocorr	47	true	false	false	119
cosocorr	48	true	false	false	119
cosocorr	49	true	false	false	119
cosocorr	50	false	true	false
cosocorr	51	true	false	false	119
cosocorr	52	true	false	false	119
cosocorr	53	true	false	false	119
cosocorr	54	true	false	false	119
cosocorr	55	true	false	false	119
cosocorr	56	true	false	false	119
cosocorr	57	true	false	false	119
cosocorr	58	true	false	false	119
cosocorr	59	true	false	false	119
cosocorr	60	true	false	false	119
cosocorr	61	true	false	false	48, 119
cosocorr	62	true	false	false	119
cosocorr	63	true	false	false	119
cosocorr	64	true	false	false	119
cosocorr	65	false	false	true	49, 55, 79
cosocorr	66	true	false	false	119
cosocorr	67	true	false	false	119
cosocorr	68	true	false	false	114, 119
cosocorr	69	true	false	false	119
cosocorr	70	true	false	false	114, 119
cosocorr	71	true	false	false	114, 119
cosocorr	72	true	false	false	114, 119
cosocorr	73	true	false	false	114, 119
cosocorr	74	true	false	false	114, 119
cosocorr	75	true	false	false	119
cosocorr	76	true	false	false	119
cosocorr	77	true	false	false	119
cosocorr	78	true	false	false	119
cosocorr	79	true	false	false	119
cosocorr	80	true	false	false	119
cosocorr	81	true	false	false	119
cosocorr	82	true	false	false	119
cosocorr	83	true	false	false	119
cosocorr	84	true	false	false	119
cosocorr	85	true	false	false	119
cosocorr	86	false	true	false	25, 49, 119
cosocorr	87	true	false	false	119
cosocorr	88	true	false	false	119
cosocorr	89	true	false	false	119
cosocorr	90	true	false	false	119
cosocorr	91	true	false	false	119
cosocorr	92	false	true	false
cosocorr	93	false	true	false
cosocorr	94	false	true	false
cosocorr	95	false	true	true
cosocorr	96	true	false	false	119
cosocorr	97	true	false	false	119
cosocorr	98	false	false	true
cosocorr	99	false	false	true	1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 101, 102, 104, 105, 107, 108, 109, 110, 111, 112, 113, 114, 116, 117, 118, 119, 120, 121, 122, 123, 125, 126, 127, 128, 129
cosocorr	100	true	false	false	119
cosocorr	101	true	false	false	40, 79, 107, 119
cosocorr	102	true	false	false	40, 48, 49, 109, 119
cosocorr	103	true	false	false	79, 107, 119
cosocorr	104	true	false	false	119
