Category	Segment number	Segment Good	Eye Blinks	Eye Movements	Bad Channels
cosocorr	1	true	false	false	56, 63, 81, 107
cosocorr	2	true	false	false	63, 56, 81, 107
cosocorr	3	true	false	false	63, 56, 81, 107
cosocorr	4	true	false	false	63, 56, 81, 107
cosocorr	5	true	false	false	63, 56, 81, 107
cosocorr	6	true	false	false	56, 63, 81, 107
cosocorr	7	true	false	false	63, 56, 81, 107
cosocorr	8	true	false	false	63, 56, 81, 107
cosocorr	9	true	false	false	56, 63, 81, 107
cosocorr	10	true	false	false	56, 63, 81, 107
cosocorr	11	true	false	false	63, 56, 81, 107
cosocorr	12	true	false	false	56, 63, 81, 107
cosocorr	13	true	false	false	63, 56, 81, 107
cosocorr	14	false	true	false	63, 126, 127
cosocorr	15	true	false	false	63, 56, 81, 107
cosocorr	16	true	false	false	63, 56, 81, 107
cosocorr	17	true	false	false	63, 56, 81, 107
cosocorr	18	true	false	false	63, 56, 81, 107
cosocorr	19	true	false	false	63, 56, 81, 107
cosocorr	20	true	false	false	63, 56, 81, 107
cosocorr	21	true	false	false	63, 56, 81, 107
cosocorr	22	true	false	false	63, 56, 81, 107
cosocorr	23	true	false	false	63, 56, 81, 107
cosocorr	24	true	false	false	63, 56, 81, 107
cosocorr	25	true	false	false	63, 56, 81, 107
cosocorr	26	true	false	false	63, 56, 81, 107
cosocorr	27	true	false	false	63, 56, 81, 107
cosocorr	28	true	false	false	63, 56, 81, 107
cosocorr	29	true	false	false	63, 56, 81, 107
cosocorr	30	true	false	false	63, 56, 81, 107
cosocorr	31	true	false	false	63, 56, 81, 107
cosocorr	32	true	false	false	63, 56, 81, 107
cosocorr	33	true	false	false	63, 56, 81, 107
cosocorr	34	true	false	false	63, 56, 81, 107
cosocorr	35	true	false	false	63, 56, 81, 107
cosocorr	36	true	false	false	63, 56, 81, 107
cosocorr	37	true	false	false	49, 63, 56, 81, 107
cosocorr	38	true	false	false	63, 56, 81, 107
cosocorr	39	true	false	false	49, 63, 56, 81, 107
cosocorr	40	true	false	false	49, 63, 56, 81, 107
cosocorr	41	true	false	false	49, 63, 56, 81, 107
cosocorr	42	true	false	false	63, 56, 81, 107
cosocorr	43	true	false	false	49, 63, 56, 81, 107
cosocorr	44	true	false	false	49, 63, 56, 81, 107
cosocorr	45	true	false	false	49, 63, 81, 56, 107
cosocorr	46	true	false	false	63, 56, 81, 107
cosocorr	47	true	false	false	63, 56, 81, 107
cosocorr	48	true	false	false	63, 81, 88, 56, 107
cosocorr	49	false	true	false	49, 63, 126
cosocorr	50	true	false	false	63, 81, 56, 107
cosocorr	51	true	false	false	49, 63, 107, 56, 81
cosocorr	52	true	false	false	63, 107, 56, 81
cosocorr	53	true	false	false	63, 81, 116, 56, 107
cosocorr	54	true	false	false	63, 81, 88, 56, 107
cosocorr	55	true	false	false	63, 107, 56, 81
cosocorr	56	true	false	false	63, 56, 81, 107
cosocorr	57	true	false	false	63, 81, 107, 56
cosocorr	58	true	false	false	63, 56, 81, 107
cosocorr	59	true	false	false	63, 56, 81, 107
cosocorr	60	true	false	false	63, 56, 81, 107
cosocorr	61	true	false	false	63, 56, 81, 107
cosocorr	62	true	false	false	63, 56, 81, 107
cosocorr	63	true	false	false	63, 56, 81, 107
cosocorr	64	true	false	false	63, 107, 56, 81
cosocorr	65	true	false	false	63, 56, 81, 107
cosocorr	66	true	false	false	63, 56, 81, 107
cosocorr	67	true	false	false	63, 116, 56, 81, 107
cosocorr	68	true	false	false	63, 56, 81, 107
cosocorr	69	true	false	false	63, 116, 56, 81, 107
cosocorr	70	true	false	false	63, 81, 56, 107
cosocorr	71	true	false	false	63, 81, 107, 56
cosocorr	72	true	false	false	49, 63, 81, 107, 56
cosocorr	73	true	false	false	63, 116, 56, 81, 107
cosocorr	74	true	false	false	63, 56, 81, 107
cosocorr	75	true	false	false	49, 63, 107, 56, 81
cosocorr	76	true	false	false	56, 63, 81, 107
cosocorr	77	true	false	false	63, 81, 107, 56
cosocorr	78	true	false	false	63, 81, 88, 56, 107
cosocorr	79	true	false	false	63, 56, 81, 107
cosocorr	80	true	false	false	63, 107, 56, 81
cosocorr	81	true	false	false	63, 81, 56, 107
cosocorr	82	true	false	false	63, 107, 56, 81
cosocorr	83	true	false	false	63, 107, 116, 56, 81
cosocorr	84	true	false	false	63, 81, 56, 107
cosocorr	85	true	false	false	63, 56, 81, 107
cosocorr	86	true	false	false	49, 63, 56, 81, 107
cosocorr	87	true	false	false	49, 63, 56, 81, 107
cosocorr	88	true	false	false	63, 56, 81, 107
cosocorr	89	true	false	false	63, 56, 81, 107
