Category	Segment number	Segment Good	Eye Blinks	Eye Movements	Bad Channels
cosocorr	1	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	2	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	3	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	4	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	5	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	6	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	7	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	8	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	9	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	10	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	11	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	12	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	13	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	14	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	15	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	16	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	17	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	18	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	19	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	20	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	21	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	22	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	23	true	false	false	114, 44, 63, 72, 97, 98, 99, 102, 103, 109
cosocorr	24	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	25	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	26	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	27	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	28	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	29	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	30	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	31	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	32	true	false	false	44, 56, 99, 63, 72, 97, 98, 102, 103, 109, 114
cosocorr	33	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	34	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	35	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	36	true	false	false	99, 44, 63, 72, 97, 98, 102, 103, 109, 114
cosocorr	37	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	38	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	39	true	false	false	99, 44, 63, 72, 97, 98, 102, 103, 109, 114
cosocorr	40	true	false	false	99, 44, 63, 72, 97, 98, 102, 103, 109, 114
cosocorr	41	true	false	false	99, 44, 63, 72, 97, 98, 102, 103, 109, 114
cosocorr	42	true	false	false	44, 99, 63, 72, 97, 98, 102, 103, 109, 114
cosocorr	43	true	false	false	44, 99, 63, 72, 97, 98, 102, 103, 109, 114
cosocorr	44	true	false	false	44, 99, 63, 72, 97, 98, 102, 103, 109, 114
cosocorr	45	true	false	false	99, 44, 63, 72, 97, 98, 102, 103, 109, 114
cosocorr	46	false	true	true	8, 14, 17, 21, 25, 44, 99
cosocorr	47	true	false	false	99, 103, 114, 44, 63, 72, 97, 98, 102, 109
cosocorr	48	true	false	false	44, 99, 114, 63, 72, 97, 98, 102, 103, 109
cosocorr	49	false	true	false	44, 99, 114
cosocorr	50	false	false	true	44, 48, 99, 114
cosocorr	51	false	true	false	14, 17, 99, 114
cosocorr	52	false	false	true	44, 56, 63, 92, 96, 97, 98, 99, 100, 102, 103, 109, 114
cosocorr	53	true	false	false	44, 63, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	54	true	false	false	44, 99, 114, 63, 72, 97, 98, 102, 103, 109
cosocorr	55	true	false	false	99, 114, 44, 63, 72, 97, 98, 102, 103, 109
cosocorr	56	true	false	false	44, 97, 99, 114, 63, 72, 98, 102, 103, 109
cosocorr	57	true	false	false	44, 99, 114, 63, 72, 97, 98, 102, 103, 109
cosocorr	58	true	false	false	99, 44, 63, 72, 97, 98, 102, 103, 109, 114
cosocorr	59	true	false	false	72, 99, 114, 44, 63, 97, 98, 102, 103, 109
cosocorr	60	true	false	false	99, 114, 44, 63, 72, 97, 98, 102, 103, 109
cosocorr	61	false	true	false	44, 63, 99, 114
cosocorr	62	true	false	false	99, 114, 44, 63, 72, 97, 98, 102, 103, 109
cosocorr	63	false	true	true	44, 63, 72, 97, 99, 102, 114
cosocorr	64	true	false	false	44, 63, 68, 114, 72, 97, 98, 99, 102, 103, 109
cosocorr	65	true	false	false	63, 44, 72, 97, 98, 99, 102, 103, 109, 114
cosocorr	66	true	false	false	44, 63, 114, 72, 97, 98, 99, 102, 103, 109
cosocorr	67	true	false	false	40, 63, 114, 44, 72, 97, 98, 99, 102, 103, 109
cosocorr	68	true	false	false	44, 63, 99, 102, 114, 72, 97, 98, 103, 109
cosocorr	69	true	false	false	44, 63, 99, 102, 114, 72, 97, 98, 103, 109
cosocorr	70	true	false	false	44, 63, 99, 114, 72, 97, 98, 102, 103, 109
cosocorr	71	true	false	false	63, 114, 44, 72, 97, 98, 99, 102, 103, 109
cosocorr	72	true	false	false	63, 72, 114, 44, 97, 98, 99, 102, 103, 109
cosocorr	73	true	false	false	63, 99, 114, 44, 72, 97, 98, 102, 103, 109
