Category	Segment number	Segment Good	Eye Blinks	Eye Movements	Bad Channels
cosocorr	1	true	false	false	62
cosocorr	2	true	false	false	56, 62
cosocorr	3	true	false	false	62
cosocorr	4	false	true	true	38, 43, 56, 107, 127
cosocorr	5	true	false	false	56, 62
cosocorr	6	true	false	false	107, 62
cosocorr	7	false	true	false
cosocorr	8	true	false	false	62
cosocorr	9	false	true	false	126, 127
cosocorr	10	true	false	false	42, 62
cosocorr	11	true	false	false	62
cosocorr	12	true	false	false	62
cosocorr	13	true	false	false	62
cosocorr	14	true	false	false	62
cosocorr	15	true	false	false	62
cosocorr	16	true	false	false	26, 62
cosocorr	17	true	false	false	62
cosocorr	18	true	false	false	62
cosocorr	19	true	false	false	99, 107, 62
cosocorr	20	true	false	false	56, 62
cosocorr	21	false	true	false
cosocorr	22	true	false	false	62
cosocorr	23	true	false	false	63, 62
cosocorr	24	false	true	true	32, 39, 44, 56, 114, 126, 127
cosocorr	25	true	false	false	62
cosocorr	26	true	false	false	39, 62
cosocorr	27	true	false	false	39, 62
cosocorr	28	true	false	false	62
cosocorr	29	true	false	false	62
cosocorr	30	true	false	false	62
cosocorr	31	true	false	false	62
cosocorr	32	true	false	false	62
cosocorr	33	true	false	false	62
cosocorr	34	true	false	false	62
cosocorr	35	true	false	false	62
cosocorr	36	true	false	false	62
cosocorr	37	true	false	false	99, 62
cosocorr	38	true	false	false	16, 62
cosocorr	39	true	false	false	62
cosocorr	40	true	false	false	62
cosocorr	41	true	false	false	62
cosocorr	42	true	false	false	62
cosocorr	43	true	false	false	20, 62
cosocorr	44	true	false	false	62
cosocorr	45	true	false	false	2, 62
cosocorr	46	false	false	true
cosocorr	47	true	false	false	62
cosocorr	48	false	true	false	107, 126, 127
cosocorr	49	true	false	false	62
cosocorr	50	true	false	false	62
cosocorr	51	true	false	false	99, 62
cosocorr	52	true	false	false	62
cosocorr	53	true	false	false	62
cosocorr	54	true	false	false	62
cosocorr	55	true	false	false	107, 62
cosocorr	56	true	false	false	99, 62
cosocorr	57	true	false	false	62
cosocorr	58	true	false	false	62
cosocorr	59	true	false	false	107, 62
cosocorr	60	true	false	false	62
cosocorr	61	true	false	false	107, 62
cosocorr	62	true	false	false	62
cosocorr	63	true	false	false	62
cosocorr	64	true	false	false	107, 62
cosocorr	65	true	false	false	62
cosocorr	66	false	true	false
cosocorr	67	true	false	false	62
cosocorr	68	true	false	false	62
cosocorr	69	true	false	false	56, 62
cosocorr	70	true	false	false	62
cosocorr	71	true	false	false	62
cosocorr	72	true	false	false	62
cosocorr	73	true	false	false	39, 62
cosocorr	74	true	false	false	39, 63, 62
cosocorr	75	true	false	false	26, 62
cosocorr	76	true	false	false	62
cosocorr	77	true	false	false	62
cosocorr	78	true	false	false	62
cosocorr	79	true	false	false	62
cosocorr	80	true	false	false	62
cosocorr	81	true	false	false	62
cosocorr	82	true	false	false	20, 107, 62
cosocorr	83	true	false	false	62
cosocorr	84	true	false	false	62
cosocorr	85	true	false	false	62
cosocorr	86	true	false	false	39, 62
cosocorr	87	false	true	false
cosocorr	88	true	false	false	62
cosocorr	89	true	false	false	62
cosocorr	90	true	false	false	62, 99
cosocorr	91	true	false	false	62, 99, 129
cosocorr	92	true	false	false	39, 62, 129
cosocorr	93	true	false	false	56, 62, 129
cosocorr	94	true	false	false	62
cosocorr	95	true	false	false	62, 99, 129
cosocorr	96	true	false	false	62, 99, 129
cosocorr	97	true	false	false	62, 99, 129
cosocorr	98	true	false	false	62, 99, 129
cosocorr	99	true	false	false	62, 99, 129
cosocorr	100	true	false	false	62, 99, 129
cosocorr	101	true	false	false	62, 99, 129
cosocorr	102	true	false	false	62, 79, 99, 129
cosocorr	103	true	false	false	39, 62, 99, 129
cosocorr	104	true	false	false	34, 62
cosocorr	105	true	false	false	62, 99, 129
cosocorr	106	true	false	false	62, 129
cosocorr	107	true	false	false	62
cosocorr	108	true	false	false	59, 62
cosocorr	109	true	false	false	62, 129
cosocorr	110	true	false	false	62
cosocorr	111	true	false	false	62, 129
cosocorr	112	true	false	false	39, 62
cosocorr	113	false	true	true	49, 62, 88, 94, 99
cosocorr	114	true	false	false	61, 62, 91, 99, 129
cosocorr	115	true	false	false	61, 62, 79, 91, 99, 129
cosocorr	116	true	false	false	62, 122
cosocorr	117	true	false	false	61, 62, 84, 91, 99, 129
cosocorr	118	true	false	false	62, 91, 129
cosocorr	119	true	false	false	61, 62, 91, 129
cosocorr	120	true	false	false	62
colacorr	1	false	true	true	1, 8, 14, 16, 17, 21, 22, 25, 27, 32, 38, 43, 48, 56, 120, 122, 125, 126, 127, 128
colacorr	2	true	false	false	62
colacorr	3	true	false	false	33, 62
colacorr	4	true	false	false	33, 62
colacorr	5	true	false	false	42, 99, 107, 116, 62
colacorr	6	true	false	false	62
colacorr	7	true	false	false	56, 62
colacorr	8	true	false	false	66, 62
colacorr	9	true	false	false	62
colacorr	10	true	false	false	62
colacorr	11	true	false	false	62
colacorr	12	true	false	false	33, 56, 62
colacorr	13	true	false	false	62
colacorr	14	true	false	false	62
colacorr	15	true	false	false	62
colacorr	16	false	false	true	56, 116
colacorr	17	true	false	false	62
colacorr	18	true	false	false	62
colacorr	19	true	false	false	62
colacorr	20	true	false	false	62
colacorr	21	true	false	false	91, 62
colacorr	22	true	false	false	33, 56, 62
colacorr	23	false	true	false	100, 126
colacorr	24	true	false	false	62
colacorr	25	true	false	false	62
colacorr	26	true	false	false	59, 62
colacorr	27	true	false	false	62
colacorr	28	true	false	false	56, 62
colacorr	29	true	false	false	62
colacorr	30	true	false	false	62
colacorr	31	true	false	false	62
colacorr	32	true	false	false	62
colacorr	33	true	false	false	62
colacorr	34	true	false	false	62
colacorr	35	true	false	false	99, 62
colacorr	36	true	false	false	56, 62
colacorr	37	true	false	false	62
colacorr	38	true	false	false	99, 62
colacorr	39	true	false	false	62
colacorr	40	false	false	true
colacorr	41	true	false	false	2, 16, 62
colacorr	42	true	false	false	63, 62
colacorr	43	true	false	false	62
colacorr	44	true	false	false	62
colacorr	45	true	false	false	62
colacorr	46	true	false	false	2, 62
colacorr	47	true	false	false	62
colacorr	48	true	false	false	62
colacorr	49	true	false	false	107, 62
colacorr	50	true	false	false	66, 62
colacorr	51	true	false	false	62
colacorr	52	true	false	false	62
colacorr	53	true	false	false	39, 62
colacorr	54	true	false	false	62
colacorr	55	true	false	false	107, 62
colacorr	56	true	false	false	99, 62
colacorr	57	true	false	false	62
colacorr	58	true	false	false	62
colacorr	59	true	false	false	62
colacorr	60	true	false	false	99, 62
colacorr	61	true	false	false	62
colacorr	62	true	false	false	62
colacorr	63	true	false	false	39, 63, 107, 62
colacorr	64	true	false	false	62
colacorr	65	true	false	false	62
colacorr	66	true	false	false	62
colacorr	67	true	false	false	62
colacorr	68	true	false	false	63, 62
colacorr	69	true	false	false	62
colacorr	70	true	false	false	99, 62
colacorr	71	true	false	false	62
colacorr	72	true	false	false	62
colacorr	73	true	false	false	39, 62
colacorr	74	true	false	false	99, 62
colacorr	75	true	false	false	99, 62
colacorr	76	true	false	false	99, 62
colacorr	77	true	false	false	62
colacorr	78	true	false	false	62
colacorr	79	true	false	false	62, 99
colacorr	80	true	false	false	99, 107, 62
colacorr	81	false	true	true	33, 62, 63, 99
colacorr	82	true	false	false	62
colacorr	83	true	false	false	62
colacorr	84	true	false	false	62
colacorr	85	true	false	false	57, 62
colacorr	86	false	true	false	62, 99
colacorr	87	true	false	false	33, 57, 62
colacorr	88	true	false	false	62
colacorr	89	false	true	false	56, 62, 99, 107, 129
colacorr	90	false	false	true	49, 129
colacorr	91	true	false	false	62, 129
colacorr	92	true	false	false	62
colacorr	93	true	false	false	62, 99, 129
colacorr	94	true	false	false	62, 99, 107, 129
colacorr	95	false	true	false	62, 129
colacorr	96	true	false	false	62, 129
colacorr	97	true	false	false	62, 129
colacorr	98	true	false	false	62, 99, 129
colacorr	99	true	false	false	33, 62, 99, 129
colacorr	100	true	false	false	62, 99, 129
colacorr	101	true	false	false	62, 129
colacorr	102	false	true	false	62, 99, 129
colacorr	103	true	false	false	33, 62, 99, 129
colacorr	104	true	false	false	62, 99, 129
colacorr	105	true	false	false	62, 99, 129
colacorr	106	true	false	false	62, 79, 81, 99, 129
colacorr	107	true	false	false	39, 62, 99, 129
colacorr	108	true	false	false	62, 99, 129
colacorr	109	true	false	false	62, 129
colacorr	110	true	false	false	61, 62, 91, 99, 129
colacorr	111	true	false	false	61, 62, 91, 99, 129
colacorr	112	true	false	false	62, 99, 129
colacorr	113	true	false	false	39, 62, 129
colacorr	114	true	false	false	62, 129
colacorr	115	true	false	false	62, 91, 129
colacorr	116	true	false	false	61, 62, 91, 99, 129
colacorr	117	true	false	false	61, 62, 91, 99, 129
colacorr	118	true	false	false	61, 62, 91, 99, 129
